# Time     Valence0    Valence1     Valence2     Valence3     Valence4     Valence5     Valence6
5.380000000000000000e+04 6.419753086419753563e-02 4.629629629629629650e-01 4.469135802469135776e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.390000000000000000e+04 6.419753086419753563e-02 4.604938271604938071e-01 4.493827160493827355e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.400000000000000000e+04 6.419753086419753563e-02 4.604938271604938071e-01 4.493827160493827355e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.410000000000000000e+04 6.419753086419753563e-02 4.580246913580247048e-01 4.518518518518518379e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.420000000000000000e+04 6.419753086419753563e-02 4.580246913580247048e-01 4.518518518518518379e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.430000000000000000e+04 6.419753086419753563e-02 4.580246913580247048e-01 4.518518518518518379e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.440000000000000000e+04 6.419753086419753563e-02 4.580246913580247048e-01 4.518518518518518379e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.450000000000000000e+04 6.419753086419753563e-02 4.580246913580247048e-01 4.518518518518518379e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.460000000000000000e+04 6.419753086419753563e-02 4.580246913580247048e-01 4.518518518518518379e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.470000000000000000e+04 6.419753086419753563e-02 4.580246913580247048e-01 4.518518518518518379e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.480000000000000000e+04 6.419753086419753563e-02 4.580246913580247048e-01 4.518518518518518379e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.490000000000000000e+04 6.296296296296295669e-02 4.580246913580247048e-01 4.530864197530864446e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.500000000000000000e+04 6.296296296296295669e-02 4.580246913580247048e-01 4.530864197530864446e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.510000000000000000e+04 6.172839506172839164e-02 4.580246913580247048e-01 4.543209876543209957e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.520000000000000000e+04 6.172839506172839164e-02 4.580246913580247048e-01 4.543209876543209957e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.530000000000000000e+04 6.172839506172839164e-02 4.580246913580247048e-01 4.543209876543209957e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.540000000000000000e+04 6.172839506172839164e-02 4.580246913580247048e-01 4.543209876543209957e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.550000000000000000e+04 6.172839506172839164e-02 4.580246913580247048e-01 4.543209876543209957e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.560000000000000000e+04 6.172839506172839164e-02 4.580246913580247048e-01 4.543209876543209957e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
