# Time     Monomers    Dimers     Chains     Loops     Gels/Branchedchains
7.410000000000000000e+04 1.940000000000000058e-01 2.469999999999999973e-01 4.480000000000000093e-01 6.600000000000000311e-02 4.499999999999999833e-02
7.420000000000000000e+04 1.940000000000000058e-01 2.469999999999999973e-01 4.480000000000000093e-01 6.600000000000000311e-02 4.499999999999999833e-02
7.430000000000000000e+04 1.940000000000000058e-01 2.469999999999999973e-01 4.480000000000000093e-01 6.600000000000000311e-02 4.499999999999999833e-02
7.440000000000000000e+04 1.940000000000000058e-01 2.469999999999999973e-01 4.480000000000000093e-01 6.600000000000000311e-02 4.499999999999999833e-02
7.450000000000000000e+04 1.940000000000000058e-01 2.469999999999999973e-01 4.480000000000000093e-01 6.600000000000000311e-02 4.499999999999999833e-02
7.460000000000000000e+04 1.849999999999999978e-01 2.550000000000000044e-01 4.480000000000000093e-01 6.600000000000000311e-02 4.499999999999999833e-02
7.470000000000000000e+04 1.849999999999999978e-01 2.550000000000000044e-01 4.149999999999999800e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.480000000000000000e+04 1.849999999999999978e-01 2.550000000000000044e-01 4.149999999999999800e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.490000000000000000e+04 1.849999999999999978e-01 2.550000000000000044e-01 4.149999999999999800e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.500000000000000000e+04 1.849999999999999978e-01 2.550000000000000044e-01 4.149999999999999800e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.510000000000000000e+04 1.849999999999999978e-01 2.550000000000000044e-01 4.149999999999999800e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.520000000000000000e+04 1.849999999999999978e-01 2.550000000000000044e-01 4.149999999999999800e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.530000000000000000e+04 1.849999999999999978e-01 2.550000000000000044e-01 4.149999999999999800e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.540000000000000000e+04 1.849999999999999978e-01 2.550000000000000044e-01 4.149999999999999800e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.550000000000000000e+04 1.849999999999999978e-01 2.550000000000000044e-01 4.149999999999999800e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.560000000000000000e+04 1.849999999999999978e-01 2.550000000000000044e-01 4.149999999999999800e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.570000000000000000e+04 1.849999999999999978e-01 2.550000000000000044e-01 4.149999999999999800e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.580000000000000000e+04 1.849999999999999978e-01 2.550000000000000044e-01 4.149999999999999800e-01 9.900000000000000466e-02 4.499999999999999833e-02
